school_name,team_id,logo_url,local_path,filename
Rider,484,https://s3.amazonaws.com/cstest/teams/484/rider-university-logo.jpg.220x220_q95.jpg,school_logos/Rider_484.jpg,Rider_484.jpg
Saint Louis,491,https://s3.amazonaws.com/cstest/mb/2016/05/SLU_logo.jpg.220x220_q95.jpg,school_logos/Saint_Louis_491.jpg,Saint_Louis_491.jpg
Saint Mary's (CA),10049846,https://s3.amazonaws.com/cstest/mb/2025/08/bdd21983-dfac-4949-beed-d6f0199de309.jpg.220x220_q95.jpg,school_logos/Saint_Marys_CA_10049846.jpg,Saint_Marys_CA_10049846.jpg
Saint Peters,468,https://s3.amazonaws.com/cstest/mb/2023/01/fd213c96-462e-4a90-80b6-25d2fed10a49.jpg.220x220_q95.jpg,school_logos/Saint_Peters_468.jpg,Saint_Peters_468.jpg
Seattle,90,https://s3.amazonaws.com/cstest/teams/90.gif.220x220_q95.png,school_logos/Seattle_90.png,Seattle_90.png
Seton Hall,462,https://s3.amazonaws.com/cstest/teams/462.gif.220x220_q95.png,school_logos/Seton_Hall_462.png,Seton_Hall_462.png
South Dakota State,451,https://s3.amazonaws.com/cstest/teams/80-southdakotastate1.gif.220x220_q95.jpg,school_logos/South_Dakota_State_451.jpg,South_Dakota_State_451.jpg
Southern Illinois,453,https://s3.amazonaws.com/cstest/mb/2019/08/48a5c577-4c28-4a.png.220x220_q95.png,school_logos/Southern_Illinois_453.png,Southern_Illinois_453.png
Southern Methodist,75,https://s3.amazonaws.com/cstest/teams/75/southern-methodist-university-logo.jpg.220x220_q95.jpg,school_logos/Southern_Methodist_75.jpg,Southern_Methodist_75.jpg
St. Bonaventure,457,https://s3.amazonaws.com/cstest/mb/2024/10/2024_STB_Logo_Primary-Light_1.png.220x220_q95.png,school_logos/St_Bonaventure_457.png,St_Bonaventure_457.png
Stanford,112,https://s3.amazonaws.com/cstest/teams/112/stanford-university-logo.png.220x220_q95.png,school_logos/Stanford_112.png,Stanford_112.png
Stonehill,10023198,https://s3.amazonaws.com/cstest/mb/2019/12/5fbb870f-054b-45.jpeg.220x220_q95.jpg,school_logos/Stonehill_10023198.jpg,Stonehill_10023198.jpg
